"Municipio","area","avgDist","maxDist","avgTime","maxTime"
"Aguada",13.7,"0.71","3.08","10","42"
"Aguadilla",5,"0.33","1.9","5","26"
"Añasco",11.8,"1.09","4.22","15","58"
"Arecibo",39.7,"0.71","2.33","10","32"
"Arroyo",4.4,"0.3","1.73","4","24"
"Barceloneta",14.7,"0.75","2.16","10","30"
"Bayamón",2.7,"0.49","1.32","7","18"
"Cabo Rojo",32.5,"0.01","0.21","0","3"
"Camuy",2.1,"0.16","0.75","2","10"
"Canóvanas",4,"0.56","0.56","8","8"
"Carolina",21,"2.6","10.06","35","137"
"Cataño",8.3,"1.2","3.22","16","44"
"Ceiba",20.3,NA,NA,NA,NA
"Culebra",3.9,"0.09","0.75","1","10"
"Dorado",13.1,"0.73","7.64","10","104"
"Fajardo",9.8,"0.28","1.18","4","16"
"Guánica",5.8,"0.27","2.26","4","31"
"Guayama",12,"1.44","5.49","20","75"
"Guayanilla",6.8,"0.47","1.03","6","14"
"Guaynabo",1.1,"0.1","0.54","1","7"
"Hatillo",4,"0.24","0.82","3","11"
"Humacao",19,NA,NA,NA,NA
"Isabela",5.3,"0.34","1.81","5","25"
"Juana Díaz",8.6,"0.36","1.35","5","18"
"Lajas",8,"0.44","2.15","6","29"
"Loiza",50.1,"7.44","14.78","102","202"
"Luquillo",9,"0.38","1.28","5","17"
"Manatí",14.8,"0.27","1.46","4","20"
"Maunabo",2.2,"0.03","0.22","0","3"
"Mayagüez",17.5,"0.68","4.07","9","56"
"Naguabo",13.2,NA,NA,NA,NA
"Patillas",2.5,"0.16","0.94","2","13"
"Peñuelas",4.6,"0.89","3.01","12","41"
"Ponce",23,"1.38","4.53","19","62"
"Quebradillas",0.5,"0.03","0.03","0","0"
"Rincón",4.7,"0.33","1.36","5","19"
"Rio Grande",27,"1.95","5.99","27","82"
"Salinas",22.5,"0.5","2.62","7","36"
"San Juan",13.6,"0.32","1.78","4","24"
"Santa Isabel",13.3,"0.63","1.83","9","25"
"Toa Baja",23.5,"1.96","5.37","27","73"
"Vega Alta",3.4,"0.64","1.93","9","26"
"Vega Baja",25.5,"0.49","2.16","7","30"
"Vieques",16,NA,NA,NA,NA
"Yabucoa",7,"0.24","2.42","3","33"
"Yauco",0.1,NA,NA,NA,NA
